Age,hhi_norm,entropy_norm,entity,threshold,threshold_label
0,0.19361990777548557,1.7356831082715114,Developer,,All
1,0.18584585635437095,1.825785867230438,Developer,,All
2,0.17819065064770886,1.8631931577160872,Developer,,All
3,0.17721672692079005,1.8663286439858076,Developer,,All
4,0.17430037709557314,1.8906810054125418,Developer,,All
5,0.1691836742478438,1.9146341605189396,Developer,,All
6,0.16814801542242963,1.9288330893124648,Developer,,All
7,0.16546170212004618,1.9573967260306058,Developer,,All
8,0.16727132884537596,1.9428776234436833,Developer,,All
9,0.16596060961158876,1.94762688430251,Developer,,All
10,0.1648852998056593,1.9585771002984984,Developer,,All
11,0.1691927608561746,1.9353415775722793,Developer,,All
12,0.164826357633335,1.9702957916767219,Developer,,All
13,0.17408838494479673,1.9343328598645173,Developer,,All
14,0.17237938036238007,1.919824546407179,Developer,,All
15,0.16855540669417282,1.9343115230780794,Developer,,All
16,0.16220256550636342,1.9799658297675882,Developer,,All
17,0.1704945881906053,1.9274700666857847,Developer,,All
18,0.16977214593578688,1.9303427728646714,Developer,,All
19,0.1826816945240756,1.905786668633015,Developer,,All
20,0.1607260113654516,1.971710136203151,Developer,,All
21,0.15687430023187723,1.9920756262492887,Developer,,All
22,0.15878294879427451,2.008042737491548,Developer,,All
23,0.1786330057139379,1.9695101480493722,Developer,,All
24,0.1626274590871818,1.987551775165287,Developer,,All
25,0.16391097023456133,2.0407704717316935,Developer,,All
26,0.15012415160307854,2.0624542302940814,Developer,,All
27,0.1663081755412203,2.045917095114506,Developer,,All
28,0.14941551515749044,2.0873668767255795,Developer,,All
29,0.1374250296864585,2.144618485723005,Developer,,All
30,0.18982391653694716,1.9805270864582378,Developer,,All
0,0.1860110843437737,1.7895921326011337,Developer,2.0,>= 2 games
1,0.18584585635437095,1.825785867230438,Developer,2.0,>= 2 games
2,0.17819065064770886,1.8631931577160872,Developer,2.0,>= 2 games
3,0.17721672692079005,1.8663286439858076,Developer,2.0,>= 2 games
4,0.17430037709557314,1.8906810054125418,Developer,2.0,>= 2 games
5,0.1691836742478438,1.9146341605189396,Developer,2.0,>= 2 games
6,0.16814801542242963,1.9288330893124648,Developer,2.0,>= 2 games
7,0.16546170212004618,1.9573967260306058,Developer,2.0,>= 2 games
8,0.16727132884537596,1.9428776234436833,Developer,2.0,>= 2 games
9,0.16596060961158876,1.94762688430251,Developer,2.0,>= 2 games
10,0.1648852998056593,1.9585771002984984,Developer,2.0,>= 2 games
11,0.1691927608561746,1.9353415775722793,Developer,2.0,>= 2 games
12,0.164826357633335,1.9702957916767219,Developer,2.0,>= 2 games
13,0.17408838494479673,1.9343328598645173,Developer,2.0,>= 2 games
14,0.17237938036238007,1.919824546407179,Developer,2.0,>= 2 games
15,0.16855540669417282,1.9343115230780794,Developer,2.0,>= 2 games
16,0.16220256550636342,1.9799658297675882,Developer,2.0,>= 2 games
17,0.1704945881906053,1.9274700666857847,Developer,2.0,>= 2 games
18,0.16977214593578688,1.9303427728646714,Developer,2.0,>= 2 games
19,0.1826816945240756,1.905786668633015,Developer,2.0,>= 2 games
20,0.1607260113654516,1.971710136203151,Developer,2.0,>= 2 games
21,0.15687430023187723,1.9920756262492887,Developer,2.0,>= 2 games
22,0.15878294879427451,2.008042737491548,Developer,2.0,>= 2 games
23,0.1786330057139379,1.9695101480493722,Developer,2.0,>= 2 games
24,0.1626274590871818,1.987551775165287,Developer,2.0,>= 2 games
25,0.16391097023456133,2.0407704717316935,Developer,2.0,>= 2 games
26,0.15012415160307854,2.0624542302940814,Developer,2.0,>= 2 games
27,0.1663081755412203,2.045917095114506,Developer,2.0,>= 2 games
28,0.14941551515749044,2.0873668767255795,Developer,2.0,>= 2 games
29,0.1374250296864585,2.144618485723005,Developer,2.0,>= 2 games
30,0.18982391653694716,1.9805270864582378,Developer,2.0,>= 2 games
0,0.18148466953242826,1.8405084801541365,Developer,5.0,>= 5 games
1,0.17340693827421014,1.9277618708005946,Developer,5.0,>= 5 games
2,0.16892450435883424,1.9470750415625029,Developer,5.0,>= 5 games
3,0.16894178930699086,1.9304584113238705,Developer,5.0,>= 5 games
4,0.16780115401991175,1.9461183178358235,Developer,5.0,>= 5 games
5,0.165617646246751,1.9551859780369256,Developer,5.0,>= 5 games
6,0.1651473853765976,1.9613981439199668,Developer,5.0,>= 5 games
7,0.16193918611806815,1.9888204443354993,Developer,5.0,>= 5 games
8,0.16415953735213476,1.968088806855995,Developer,5.0,>= 5 games
9,0.16392353552171607,1.9675836660726664,Developer,5.0,>= 5 games
10,0.16238033017174539,1.9797123091847812,Developer,5.0,>= 5 games
11,0.16789533304592563,1.9511998120735863,Developer,5.0,>= 5 games
12,0.16358707262427918,1.9806464754215762,Developer,5.0,>= 5 games
13,0.1736479576218058,1.9419654818499752,Developer,5.0,>= 5 games
14,0.16654606471416306,1.9420358541373257,Developer,5.0,>= 5 games
15,0.1678985382670245,1.9417077829925016,Developer,5.0,>= 5 games
16,0.16207560396730628,1.986476545006529,Developer,5.0,>= 5 games
17,0.1695420462653359,1.9362078589765812,Developer,5.0,>= 5 games
18,0.16894341720356187,1.937773278284691,Developer,5.0,>= 5 games
19,0.18295350018575604,1.9105660695221647,Developer,5.0,>= 5 games
20,0.15932652729410288,1.9849140745197644,Developer,5.0,>= 5 games
21,0.1564608076326764,1.9960396397346123,Developer,5.0,>= 5 games
22,0.15929928231120763,2.0129093130121394,Developer,5.0,>= 5 games
23,0.1743140323927191,1.9852020638956462,Developer,5.0,>= 5 games
24,0.1613851522412152,1.9982188385151443,Developer,5.0,>= 5 games
25,0.15651165917601553,2.0687687463576943,Developer,5.0,>= 5 games
26,0.14990026482861704,2.066263700249431,Developer,5.0,>= 5 games
27,0.16509433904593157,2.059837296584212,Developer,5.0,>= 5 games
28,0.14930933844316557,2.093673615147062,Developer,5.0,>= 5 games
29,0.1344567220554453,2.160467064466261,Developer,5.0,>= 5 games
30,0.19059386364645212,1.9810945772353348,Developer,5.0,>= 5 games
0,0.177192921232156,1.882573950964883,Developer,10.0,>= 10 games
1,0.1584959518981945,2.0307381578543997,Developer,10.0,>= 10 games
2,0.15373049515194046,2.0590222977678865,Developer,10.0,>= 10 games
3,0.15615302657046284,2.0354114476113256,Developer,10.0,>= 10 games
4,0.15558132654202297,2.0466629649129606,Developer,10.0,>= 10 games
5,0.15586584316717597,2.0421718276570755,Developer,10.0,>= 10 games
6,0.15573364386553423,2.0466403257010777,Developer,10.0,>= 10 games
7,0.15307829969738382,2.0613131180959345,Developer,10.0,>= 10 games
8,0.15971452814796763,2.0172404690006034,Developer,10.0,>= 10 games
9,0.15869487914875477,2.0135366524205587,Developer,10.0,>= 10 games
10,0.1580614157180075,2.02261716790533,Developer,10.0,>= 10 games
11,0.16123583787882975,2.000890018096552,Developer,10.0,>= 10 games
12,0.15959457645606007,2.0120499470928155,Developer,10.0,>= 10 games
13,0.17023712241458436,1.9780873645450523,Developer,10.0,>= 10 games
14,0.16251642676660938,1.9698302069402618,Developer,10.0,>= 10 games
15,0.16593512390994908,1.9628846368953428,Developer,10.0,>= 10 games
16,0.15909967995372956,2.0072681787746585,Developer,10.0,>= 10 games
17,0.16585498421454645,1.958407184124242,Developer,10.0,>= 10 games
18,0.16763755565325278,1.9544074407072722,Developer,10.0,>= 10 games
19,0.17776072338402577,1.9393240419131716,Developer,10.0,>= 10 games
20,0.15801418806573475,1.9978287664023417,Developer,10.0,>= 10 games
21,0.15461278049313762,2.011274555424405,Developer,10.0,>= 10 games
22,0.1483917371790101,2.0623459455909092,Developer,10.0,>= 10 games
23,0.1701255810389633,2.0038008762839383,Developer,10.0,>= 10 games
24,0.16134801575017438,2.00603272584383,Developer,10.0,>= 10 games
25,0.1554462684875604,2.084683016587411,Developer,10.0,>= 10 games
26,0.15031578844898413,2.0689933720742637,Developer,10.0,>= 10 games
27,0.16424628603675914,2.07158557397271,Developer,10.0,>= 10 games
28,0.14896500795087142,2.1038662096634155,Developer,10.0,>= 10 games
29,0.13344836393322135,2.1689444360359866,Developer,10.0,>= 10 games
30,0.1913894756596073,1.9816809843716685,Developer,10.0,>= 10 games
0,0.19491571460742854,1.7475907974969362,Publisher,,All
1,0.18572708833602664,1.878944607820954,Publisher,,All
2,0.1757057470050395,1.9352869613589077,Publisher,,All
3,0.1756551064773588,1.9593910984767495,Publisher,,All
4,0.1755162062324433,1.9757466111325277,Publisher,,All
5,0.1705361525822934,2.0241305231005717,Publisher,,All
6,0.16335143328049356,2.0699450939941264,Publisher,,All
7,0.15895954440583182,2.109950531113033,Publisher,,All
8,0.15586906542924728,2.1433562906686134,Publisher,,All
9,0.15478488069281832,2.181889139513221,Publisher,,All
10,0.161755345188417,2.1693890803168596,Publisher,,All
11,0.1586651411750991,2.162132712298276,Publisher,,All
12,0.1654987442704536,2.1640923022472363,Publisher,,All
13,0.15025894312241062,2.242310275378189,Publisher,,All
14,0.158056326298717,2.2124777155568975,Publisher,,All
15,0.1622213154981452,2.246483950920776,Publisher,,All
16,0.14905284915376635,2.2963238784815716,Publisher,,All
17,0.15244749970074808,2.2648440667473935,Publisher,,All
18,0.147517687028381,2.321273896575164,Publisher,,All
19,0.16037953531003113,2.302293094935333,Publisher,,All
20,0.1452690111327354,2.3414692801790307,Publisher,,All
21,0.15660211694168938,2.2639735762092523,Publisher,,All
22,0.17601934210117223,2.2231795703141124,Publisher,,All
23,0.16027750303104923,2.289960007233098,Publisher,,All
24,0.1603745264939262,2.273115775029896,Publisher,,All
25,0.16453872934511926,2.261012114851054,Publisher,,All
26,0.1467388212395459,2.3661939094236577,Publisher,,All
27,0.15296190836810786,2.30177946890063,Publisher,,All
28,0.13491527309455226,2.4287002168124583,Publisher,,All
29,0.14239966879957822,2.405214477503576,Publisher,,All
30,0.14773979076145008,2.4703459912254457,Publisher,,All
0,0.18489255310801195,1.8224259475005333,Publisher,2.0,>= 2 games
1,0.18572708833602664,1.878944607820954,Publisher,2.0,>= 2 games
2,0.1757057470050395,1.9352869613589077,Publisher,2.0,>= 2 games
3,0.1756551064773588,1.9593910984767495,Publisher,2.0,>= 2 games
4,0.1755162062324433,1.9757466111325277,Publisher,2.0,>= 2 games
5,0.1705361525822934,2.0241305231005717,Publisher,2.0,>= 2 games
6,0.16335143328049356,2.0699450939941264,Publisher,2.0,>= 2 games
7,0.15895954440583182,2.109950531113033,Publisher,2.0,>= 2 games
8,0.15586906542924728,2.1433562906686134,Publisher,2.0,>= 2 games
9,0.15478488069281832,2.181889139513221,Publisher,2.0,>= 2 games
10,0.161755345188417,2.1693890803168596,Publisher,2.0,>= 2 games
11,0.1586651411750991,2.162132712298276,Publisher,2.0,>= 2 games
12,0.1654987442704536,2.1640923022472363,Publisher,2.0,>= 2 games
13,0.15025894312241062,2.242310275378189,Publisher,2.0,>= 2 games
14,0.158056326298717,2.2124777155568975,Publisher,2.0,>= 2 games
15,0.1622213154981452,2.246483950920776,Publisher,2.0,>= 2 games
16,0.14905284915376635,2.2963238784815716,Publisher,2.0,>= 2 games
17,0.15244749970074808,2.2648440667473935,Publisher,2.0,>= 2 games
18,0.147517687028381,2.321273896575164,Publisher,2.0,>= 2 games
19,0.16037953531003113,2.302293094935333,Publisher,2.0,>= 2 games
20,0.1452690111327354,2.3414692801790307,Publisher,2.0,>= 2 games
21,0.15660211694168938,2.2639735762092523,Publisher,2.0,>= 2 games
22,0.17601934210117223,2.2231795703141124,Publisher,2.0,>= 2 games
23,0.16027750303104923,2.289960007233098,Publisher,2.0,>= 2 games
24,0.1603745264939262,2.273115775029896,Publisher,2.0,>= 2 games
25,0.16453872934511926,2.261012114851054,Publisher,2.0,>= 2 games
26,0.1467388212395459,2.3661939094236577,Publisher,2.0,>= 2 games
27,0.15296190836810786,2.30177946890063,Publisher,2.0,>= 2 games
28,0.13491527309455226,2.4287002168124583,Publisher,2.0,>= 2 games
29,0.14239966879957822,2.405214477503576,Publisher,2.0,>= 2 games
30,0.14773979076145008,2.4703459912254457,Publisher,2.0,>= 2 games
0,0.17913255467204184,1.8894523339709235,Publisher,5.0,>= 5 games
1,0.1669281098731144,2.014352121741489,Publisher,5.0,>= 5 games
2,0.16204108691088084,2.05133958584651,Publisher,5.0,>= 5 games
3,0.16431211456723382,2.0545274917511316,Publisher,5.0,>= 5 games
4,0.16584906440305452,2.054495801849917,Publisher,5.0,>= 5 games
5,0.1655796781853769,2.086097567022297,Publisher,5.0,>= 5 games
6,0.15946488480193063,2.1247312319509377,Publisher,5.0,>= 5 games
7,0.15425202029565552,2.1629287637290475,Publisher,5.0,>= 5 games
8,0.15012441361029605,2.1955065476654836,Publisher,5.0,>= 5 games
9,0.15008246673365877,2.2235521934815394,Publisher,5.0,>= 5 games
10,0.15796193259807306,2.205870296892842,Publisher,5.0,>= 5 games
11,0.15506590009700427,2.1966606659275048,Publisher,5.0,>= 5 games
12,0.16350320739155494,2.1885985132012675,Publisher,5.0,>= 5 games
13,0.14780981241456215,2.259961865429624,Publisher,5.0,>= 5 games
14,0.15456361849096045,2.2414378020197643,Publisher,5.0,>= 5 games
15,0.1601521463485609,2.267640906084875,Publisher,5.0,>= 5 games
16,0.14859993707088484,2.3115229751991446,Publisher,5.0,>= 5 games
17,0.15054252598580403,2.286718028036534,Publisher,5.0,>= 5 games
18,0.146559267494912,2.3372487320196416,Publisher,5.0,>= 5 games
19,0.16002762798016731,2.3123764288375184,Publisher,5.0,>= 5 games
20,0.14443392470780697,2.359122057138863,Publisher,5.0,>= 5 games
21,0.15013240747826775,2.291144175287051,Publisher,5.0,>= 5 games
22,0.16886510528347778,2.258156600115264,Publisher,5.0,>= 5 games
23,0.16089114373151345,2.299918095851871,Publisher,5.0,>= 5 games
24,0.15899214716870003,2.291010152640461,Publisher,5.0,>= 5 games
25,0.16445911857867443,2.267236538573934,Publisher,5.0,>= 5 games
26,0.146108393944474,2.38506054296568,Publisher,5.0,>= 5 games
27,0.1447122283859159,2.3553752137747406,Publisher,5.0,>= 5 games
28,0.1347446784033213,2.436404899802435,Publisher,5.0,>= 5 games
29,0.14037906720824347,2.422306987697925,Publisher,5.0,>= 5 games
30,0.14773979076145008,2.4703459912254457,Publisher,5.0,>= 5 games
0,0.17521458965685519,1.935038488021572,Publisher,10.0,>= 10 games
1,0.1557082080807163,2.119780899820371,Publisher,10.0,>= 10 games
2,0.14710877713341464,2.1796773333150923,Publisher,10.0,>= 10 games
3,0.14749870864731204,2.1885461195608396,Publisher,10.0,>= 10 games
4,0.15140714335898756,2.180461448641035,Publisher,10.0,>= 10 games
5,0.15434109920380762,2.190511488076859,Publisher,10.0,>= 10 games
6,0.14971899714105882,2.220047932025447,Publisher,10.0,>= 10 games
7,0.14587345456548972,2.2477930201129985,Publisher,10.0,>= 10 games
8,0.1416433226207875,2.270006748021756,Publisher,10.0,>= 10 games
9,0.142471112346211,2.2952702470670543,Publisher,10.0,>= 10 games
10,0.14817359333263527,2.284166869640206,Publisher,10.0,>= 10 games
11,0.14887077084171874,2.2639140418722152,Publisher,10.0,>= 10 games
12,0.15230007152686492,2.2659690797260437,Publisher,10.0,>= 10 games
13,0.14417778656938474,2.3148152673240365,Publisher,10.0,>= 10 games
14,0.15306907640521675,2.2727088256462986,Publisher,10.0,>= 10 games
15,0.15508709995769795,2.3282412673867867,Publisher,10.0,>= 10 games
16,0.14508045833603084,2.3528449054234084,Publisher,10.0,>= 10 games
17,0.1444961650325809,2.3406702616915753,Publisher,10.0,>= 10 games
18,0.14201318033551882,2.3758616697001,Publisher,10.0,>= 10 games
19,0.15862692268901232,2.3550022445552043,Publisher,10.0,>= 10 games
20,0.1424854000150552,2.395751901005211,Publisher,10.0,>= 10 games
21,0.14147379879060756,2.3452461270683966,Publisher,10.0,>= 10 games
22,0.16657228508841207,2.2875179893696056,Publisher,10.0,>= 10 games
23,0.15688697331143814,2.332221177901698,Publisher,10.0,>= 10 games
24,0.1567299414475996,2.321008498541051,Publisher,10.0,>= 10 games
25,0.1630815120980386,2.2902937618639307,Publisher,10.0,>= 10 games
26,0.14119062896453755,2.4133648613725134,Publisher,10.0,>= 10 games
27,0.14399741088499965,2.368282444565886,Publisher,10.0,>= 10 games
28,0.1348051783670489,2.4483155883405376,Publisher,10.0,>= 10 games
29,0.14010547510538077,2.4349265570668264,Publisher,10.0,>= 10 games
30,0.14864658611673193,2.47803007793289,Publisher,10.0,>= 10 games
